data||type||speaker||lineNumber||songTitle||songNumber||album||
Why would she make calls out the blue?||Intro||Kanye West||1||Say You Will||1||808s & Heartbreak||
Now I'm awake, sleep (Less in June) or (Missing you)||Intro||Kanye West||2||Say You Will||1||808s & Heartbreak||
Hey, hey, hey, hey||Intro||Kanye West||3||Say You Will||1||808s & Heartbreak||
Don't say you will, unless you will||Intro||Kanye West||4||Say You Will||1||808s & Heartbreak||
Hey, hey, hey, hey||Intro||Kanye West||5||Say You Will||1||808s & Heartbreak||
Don't say you will, then play you will, I pray you will||Intro||Kanye West||6||Say You Will||1||808s & Heartbreak||
Mrs. So Fly crash-lands in my room||Intro||Kanye West||7||Say You Will||1||808s & Heartbreak||
Can't waste no time, she might leave soon||Intro||Kanye West||8||Say You Will||1||808s & Heartbreak||
Hey, hey, hey, hey||Intro||Kanye West||9||Say You Will||1||808s & Heartbreak||
Don't say you will, you do||Intro||Kanye West||10||Say You Will||1||808s & Heartbreak||
Hey, hey, hey, hey||Intro||Kanye West||11||Say You Will||1||808s & Heartbreak||
Don't say you will, one day you will, I pray you will||Intro||Kanye West||12||Say You Will||1||808s & Heartbreak||
When I grab your neck, I touch your soul||Intro||Kanye West||13||Say You Will||1||808s & Heartbreak||
Take off your cool then lose control||Intro||Kanye West||14||Say You Will||1||808s & Heartbreak||
Hey, hey, hey, hey||Intro||Kanye West||15||Say You Will||1||808s & Heartbreak||
Don't say you will, you will, you will||Intro||Kanye West||16||Say You Will||1||808s & Heartbreak||
Hey, hey, hey, hey||Intro||Kanye West||17||Say You Will||1||808s & Heartbreak||
Don't say you will, if you will, I pray you will||Intro||Kanye West||18||Say You Will||1||808s & Heartbreak||
I wish this song would really come true||Intro||Kanye West||19||Say You Will||1||808s & Heartbreak||
I admit I still fantasize about you, about you||Intro||Kanye West||20||Say You Will||1||808s & Heartbreak||
Hey, hey, hey, hey||Intro||Kanye West||21||Say You Will||1||808s & Heartbreak||
Don't say you will, you will, you will||Intro||Kanye West||22||Say You Will||1||808s & Heartbreak||
Hey, hey, hey, hey||Intro||Kanye West||23||Say You Will||1||808s & Heartbreak||
Please say you will, for real, I pray you will||Intro||Kanye West||24||Say You Will||1||808s & Heartbreak||
My friend showed me pictures of his kids||Verse 1||Kanye West||1||Welcome To Heartbreak||2||808s & Heartbreak||
And all I could show him was pictures of my cribs||Verse 1||Kanye West||2||Welcome To Heartbreak||2||808s & Heartbreak||
He said his daughter got a brand new report card, card||Verse 1||Kanye West||3||Welcome To Heartbreak||2||808s & Heartbreak||
And all I got was a brand new sports car, oh||Verse 1||Kanye West||4||Welcome To Heartbreak||2||808s & Heartbreak||
And my head keeps spinning||Chorus||Kid Cudi & Kanye West||5||Welcome To Heartbreak||2||808s & Heartbreak||
Can't stop having these visions||Chorus||Kid Cudi & Kanye West||6||Welcome To Heartbreak||2||808s & Heartbreak||
I gotta get with it (Ooh, ooh, oooh)||Chorus||Kid Cudi & Kanye West||7||Welcome To Heartbreak||2||808s & Heartbreak||
And my head keeps spinning||Chorus||Kid Cudi & Kanye West||8||Welcome To Heartbreak||2||808s & Heartbreak||
I can't stop having these visions||Chorus||Kid Cudi & Kanye West||9||Welcome To Heartbreak||2||808s & Heartbreak||
I gotta get with it (Ooh, ooh, oooh)||Chorus||Kid Cudi & Kanye West||10||Welcome To Heartbreak||2||808s & Heartbreak||
Dad cracked a joke, all the kids laughed||Verse 2||Kanye West||11||Welcome To Heartbreak||2||808s & Heartbreak||
But I couldn't hear him all the way in first class||Verse 2||Kanye West||12||Welcome To Heartbreak||2||808s & Heartbreak||
Chased the good life my whole life long||Verse 2||Kanye West||13||Welcome To Heartbreak||2||808s & Heartbreak||
Look back on my life and my life gone||Verse 2||Kanye West||14||Welcome To Heartbreak||2||808s & Heartbreak||
Where did I go wrong?||Verse 2||Kanye West||15||Welcome To Heartbreak||2||808s & Heartbreak||
And my head keeps spinning||Chorus||Kid Cudi & Kanye West||16||Welcome To Heartbreak||2||808s & Heartbreak||
Can't stop having these visions||Chorus||Kid Cudi & Kanye West||17||Welcome To Heartbreak||2||808s & Heartbreak||
I gotta get with it (Ooh, ooh, oooh)||Chorus||Kid Cudi & Kanye West||18||Welcome To Heartbreak||2||808s & Heartbreak||
And my head keeps spinning||Chorus||Kid Cudi & Kanye West||19||Welcome To Heartbreak||2||808s & Heartbreak||
I can't stop having these visions||Chorus||Kid Cudi & Kanye West||20||Welcome To Heartbreak||2||808s & Heartbreak||
I gotta get with it (Ooh, ooh, oooh)||Chorus||Kid Cudi & Kanye West||21||Welcome To Heartbreak||2||808s & Heartbreak||
I've seen it, I've seen it before||Bridge||Kanye West||22||Welcome To Heartbreak||2||808s & Heartbreak||
I've seen it, I've seen it before||Bridge||Kanye West||23||Welcome To Heartbreak||2||808s & Heartbreak||
I've seen it, I've seen it before||Bridge||Kanye West||24||Welcome To Heartbreak||2||808s & Heartbreak||
I've seen it, I've seen it before||Bridge||Kanye West||25||Welcome To Heartbreak||2||808s & Heartbreak||
My god-sister getting married by the lake||Verse 3||Kanye West||26||Welcome To Heartbreak||2||808s & Heartbreak||
But I couldn't figure out who I'd wanna take||Verse 3||Kanye West||27||Welcome To Heartbreak||2||808s & Heartbreak||
Bad enough that I showed up late||Verse 3||Kanye West||28||Welcome To Heartbreak||2||808s & Heartbreak||
I had to leave 'fore they even cut the cake||Verse 3||Kanye West||29||Welcome To Heartbreak||2||808s & Heartbreak||
Welcome to heartbreak||Verse 3||Kanye West||30||Welcome To Heartbreak||2||808s & Heartbreak||
And my head keeps spinning||Chorus||Kid Cudi & Kanye West||31||Welcome To Heartbreak||2||808s & Heartbreak||
Can't stop having these visions||Chorus||Kid Cudi & Kanye West||32||Welcome To Heartbreak||2||808s & Heartbreak||
I gotta get with it (Ooh, ooh, oooh)||Chorus||Kid Cudi & Kanye West||33||Welcome To Heartbreak||2||808s & Heartbreak||
And my head keeps spinning||Chorus||Kid Cudi & Kanye West||34||Welcome To Heartbreak||2||808s & Heartbreak||
I can't stop having these visions||Chorus||Kid Cudi & Kanye West||35||Welcome To Heartbreak||2||808s & Heartbreak||
I gotta get with it (Ooh, ooh, oooh)||Chorus||Kid Cudi & Kanye West||36||Welcome To Heartbreak||2||808s & Heartbreak||
Ooh-hoo||Outro||Kanye West||37||Welcome To Heartbreak||2||808s & Heartbreak||
Ooh-hoo||Outro||Kanye West||38||Welcome To Heartbreak||2||808s & Heartbreak||
Ooh-hoo||Outro||Kanye West||39||Welcome To Heartbreak||2||808s & Heartbreak||
And I, and I can't stop||Outro||Kanye West||40||Welcome To Heartbreak||2||808s & Heartbreak||
No, no, I can't stop||Outro||Kanye West||41||Welcome To Heartbreak||2||808s & Heartbreak||
No, no, no, no, I can't stop||Outro||Kanye West||42||Welcome To Heartbreak||2||808s & Heartbreak||
No, no, no, no, I can't stop||Outro||Kanye West||43||Welcome To Heartbreak||2||808s & Heartbreak||
Can't stop, I can't stop, I can't stop||Outro||Kanye West||44||Welcome To Heartbreak||2||808s & Heartbreak||
No, no, no, no||Outro||Kanye West||45||Welcome To Heartbreak||2||808s & Heartbreak||
No, no, no, no||Outro||Kanye West||46||Welcome To Heartbreak||2||808s & Heartbreak||
No, no, no, no||Outro||Kanye West||47||Welcome To Heartbreak||2||808s & Heartbreak||
No, no, I can't stop||Outro||Kanye West||48||Welcome To Heartbreak||2||808s & Heartbreak||
No, can't stop having these visions||Outro||Kanye West||49||Welcome To Heartbreak||2||808s & Heartbreak||
I gotta get with it||Outro||Kanye West||50||Welcome To Heartbreak||2||808s & Heartbreak||
Ooh, ooh, oooh||Outro||Kanye West||51||Welcome To Heartbreak||2||808s & Heartbreak||
Hoo-hoo, ho-ho-hoo||Outro||Kanye West||52||Welcome To Heartbreak||2||808s & Heartbreak||
Ooh-hoo||Outro||Kanye West||53||Welcome To Heartbreak||2||808s & Heartbreak||
In the night, I hear 'em talk||Intro||Kanye West||1||Heartless||3||808s & Heartbreak||
The coldest story ever told||Intro||Kanye West||2||Heartless||3||808s & Heartbreak||
Somewhere far along this road||Intro||Kanye West||3||Heartless||3||808s & Heartbreak||
He lost his soul to a woman so heartless||Intro||Kanye West||4||Heartless||3||808s & Heartbreak||
How could you be so heartless?||Intro||Kanye West||5||Heartless||3||808s & Heartbreak||
Oh, how could you be so heartless?||Intro||Kanye West||6||Heartless||3||808s & Heartbreak||
How could you be so||Intro||Kanye West||7||Heartless||3||808s & Heartbreak||
Cold as the winter wind when it breeze, yo?||Intro||Kanye West||8||Heartless||3||808s & Heartbreak||
Just remember that you talkin' to me though||Intro||Kanye West||9||Heartless||3||808s & Heartbreak||
You need to watch the way you talkin' to me, yo||Intro||Kanye West||10||Heartless||3||808s & Heartbreak||
I mean, after all the things that we been through||Intro||Kanye West||11||Heartless||3||808s & Heartbreak||
I mean, after all the things we got into||Intro||Kanye West||12||Heartless||3||808s & Heartbreak||
Ayo, I know of some things that you ain't told me||Intro||Kanye West||13||Heartless||3||808s & Heartbreak||
Ayo, I did some things but that's the old me||Intro||Kanye West||14||Heartless||3||808s & Heartbreak||
And now you wanna get me back and you gon' show me||Intro||Kanye West||15||Heartless||3||808s & Heartbreak||
So you walk around like you don't know me||Intro||Kanye West||16||Heartless||3||808s & Heartbreak||
You got a new friend, well, I got homies||Intro||Kanye West||17||Heartless||3||808s & Heartbreak||
But in the end, it's still so lonely||Intro||Kanye West||18||Heartless||3||808s & Heartbreak||
In the night, I hear 'em talk||Intro||Kanye West||19||Heartless||3||808s & Heartbreak||
The coldest story ever told||Intro||Kanye West||20||Heartless||3||808s & Heartbreak||
Somewhere far along this road||Intro||Kanye West||21||Heartless||3||808s & Heartbreak||
He lost his soul to a woman so heartless||Intro||Kanye West||22||Heartless||3||808s & Heartbreak||
How could you be so heartless?||Intro||Kanye West||23||Heartless||3||808s & Heartbreak||
Oh, how could you be so heartless?||Intro||Kanye West||24||Heartless||3||808s & Heartbreak||
How could you be so Dr. Evil?||Intro||Kanye West||25||Heartless||3||808s & Heartbreak||
You're bringin' out a side of me that I don't know||Intro||Kanye West||26||Heartless||3||808s & Heartbreak||
I decided we wasn't gon' speak so||Intro||Kanye West||27||Heartless||3||808s & Heartbreak||
Why we up 3 AM on the phone?||Intro||Kanye West||28||Heartless||3||808s & Heartbreak||
Why do she be so mad at me fo'?||Intro||Kanye West||29||Heartless||3||808s & Heartbreak||
Homie, I don't know, she's hot and cold||Intro||Kanye West||30||Heartless||3||808s & Heartbreak||
I won't stop, won't mess my groove up||Intro||Kanye West||31||Heartless||3||808s & Heartbreak||
‘Cause I already know how this thing go||Intro||Kanye West||32||Heartless||3||808s & Heartbreak||
You run and tell your friends that you're leavin' me||Intro||Kanye West||33||Heartless||3||808s & Heartbreak||
They say that they don't see what you see in me||Intro||Kanye West||34||Heartless||3||808s & Heartbreak||
You wait a couple of months, then you gon' see||Intro||Kanye West||35||Heartless||3||808s & Heartbreak||
You'll never find nobody better than me||Intro||Kanye West||36||Heartless||3||808s & Heartbreak||
In the night, I hear 'em talk (Me)||Intro||Kanye West||37||Heartless||3||808s & Heartbreak||
The coldest story ever told||Intro||Kanye West||38||Heartless||3||808s & Heartbreak||
Somewhere far along this road||Intro||Kanye West||39||Heartless||3||808s & Heartbreak||
He lost his soul to a woman so heartless||Intro||Kanye West||40||Heartless||3||808s & Heartbreak||
How could you be so heartless?||Intro||Kanye West||41||Heartless||3||808s & Heartbreak||
Oh, how could you be so heartless?||Intro||Kanye West||42||Heartless||3||808s & Heartbreak||
Talk and talk and talk and talk||Intro||Kanye West||43||Heartless||3||808s & Heartbreak||
Baby, let's just knock it off||Intro||Kanye West||44||Heartless||3||808s & Heartbreak||
They don't know what we been through||Intro||Kanye West||45||Heartless||3||808s & Heartbreak||
They don't know 'bout me and you||Intro||Kanye West||46||Heartless||3||808s & Heartbreak||
So I got somethin' new to see||Intro||Kanye West||47||Heartless||3||808s & Heartbreak||
And you just gon' keep hatin' me||Intro||Kanye West||48||Heartless||3||808s & Heartbreak||
And we just gon' be enemies||Intro||Kanye West||49||Heartless||3||808s & Heartbreak||
I know you can't believe||Intro||Kanye West||50||Heartless||3||808s & Heartbreak||
I could just leave it wrong||Intro||Kanye West||51||Heartless||3||808s & Heartbreak||
And you can't make it right||Intro||Kanye West||52||Heartless||3||808s & Heartbreak||
I'm gon' take off tonight into the night||Intro||Kanye West||53||Heartless||3||808s & Heartbreak||
In the night, I hear 'em talk||Intro||Kanye West||54||Heartless||3||808s & Heartbreak||
The coldest story ever told||Intro||Kanye West||55||Heartless||3||808s & Heartbreak||
Somewhere far along this road||Intro||Kanye West||56||Heartless||3||808s & Heartbreak||
He lost his soul to a woman so heartless||Intro||Kanye West||57||Heartless||3||808s & Heartbreak||
How could you be so heartless? (How, how?)||Intro||Kanye West||58||Heartless||3||808s & Heartbreak||
Oh, how could you be so heartless?||Intro||Kanye West||59||Heartless||3||808s & Heartbreak||
On and on and on and on||Intro||Kanye West||60||Heartless||3||808s & Heartbreak||
And on and, and on and on and on||Intro||Kanye West||61||Heartless||3||808s & Heartbreak||
I'm not loving you, way I wanted to||Intro||Kanye West||1||Love Lockdown||5||808s & Heartbreak||
What I had to do, had to run from you||Intro||Kanye West||2||Love Lockdown||5||808s & Heartbreak||
I'm in love with you, but the vibe is wrong||Intro||Kanye West||3||Love Lockdown||5||808s & Heartbreak||
And that haunted me, all the way home||Intro||Kanye West||4||Love Lockdown||5||808s & Heartbreak||
So you never know, never, never know||Intro||Kanye West||5||Love Lockdown||5||808s & Heartbreak||
Never know enough, 'til it's over love||Intro||Kanye West||6||Love Lockdown||5||808s & Heartbreak||
'Til we lose control, system overload||Intro||Kanye West||7||Love Lockdown||5||808s & Heartbreak||
Screaming, "No, no, no, n-nooo!"||Intro||Kanye West||8||Love Lockdown||5||808s & Heartbreak||
I'm not loving you, way I wanted to||Intro||Kanye West||9||Love Lockdown||5||808s & Heartbreak||
See I wanna move, but can't escape from you||Intro||Kanye West||10||Love Lockdown||5||808s & Heartbreak||
So I keep it low, keep a secret code||Intro||Kanye West||11||Love Lockdown||5||808s & Heartbreak||
So everybody else don't have to know||Intro||Kanye West||12||Love Lockdown||5||808s & Heartbreak||
So keep your love lockdown—your love lockdown||Intro||Kanye West||13||Love Lockdown||5||808s & Heartbreak||
Keeping your love lockdown—your love lockdown||Intro||Kanye West||14||Love Lockdown||5||808s & Heartbreak||
Now keep your love lockdown—your love lockdown||Intro||Kanye West||15||Love Lockdown||5||808s & Heartbreak||
Now keep your love lockdown—you lose||Intro||Kanye West||16||Love Lockdown||5||808s & Heartbreak||
I'm not loving you, way I wanted to||Intro||Kanye West||17||Love Lockdown||5||808s & Heartbreak||
I can't keep my cool, so I keep it true||Intro||Kanye West||18||Love Lockdown||5||808s & Heartbreak||
I got something to lose, so I gotta move||Intro||Kanye West||19||Love Lockdown||5||808s & Heartbreak||
