data||type||speaker||lineNumber||songTitle||songNumber||album||
Party people in the place to be||Intro||Kanye West||1||G.O.O.D. Friday||5||G.O.O.D. Fridays||
You are now in the midst of a real emcee||Intro||Kanye West||2||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Throw your hands in the air if you real as me||Intro||Kanye West||3||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Oooooooh! OW!||Intro||Kanye West||4||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Ugh, ugh, la-la-la (Hey, ugh)||Hook||Kid Cudi, Charlie Wilson, & Kanye West||5||G.O.O.D. Friday||5||G.O.O.D. Fridays||
La la la la-la||Hook||Kid Cudi, Charlie Wilson, & Kanye West||6||G.O.O.D. Friday||5||G.O.O.D. Fridays||
La la la la-la||Hook||Kid Cudi, Charlie Wilson, & Kanye West||7||G.O.O.D. Friday||5||G.O.O.D. Fridays||
(They say, ahh) Are you||Hook||Kid Cudi, Charlie Wilson, & Kanye West||8||G.O.O.D. Friday||5||G.O.O.D. Fridays||
(La la la, ayy) Ready to go?||Hook||Kid Cudi, Charlie Wilson, & Kanye West||9||G.O.O.D. Friday||5||G.O.O.D. Fridays||
(La la la la-la) I know the city getting ready for me||Hook||Kid Cudi, Charlie Wilson, & Kanye West||10||G.O.O.D. Friday||5||G.O.O.D. Fridays||
(La la la la-la) I know the city getting ready||Hook||Kid Cudi, Charlie Wilson, & Kanye West||11||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Such an easy morning, we on a ride||Verse 1||Kanye West||12||G.O.O.D. Friday||5||G.O.O.D. Fridays||
And I'm feeling smooth as the way the Benz drive||Verse 1||Kanye West||13||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Turn the radio down if they playing that bullshit||Verse 1||Kanye West||14||G.O.O.D. Friday||5||G.O.O.D. Fridays||
They don’t want black people to think and drive||Verse 1||Kanye West||15||G.O.O.D. Friday||5||G.O.O.D. Fridays||
He think he live, he think he cold||Verse 2||Common & Common & Kanye West||16||G.O.O.D. Friday||5||G.O.O.D. Fridays||
He think I’m high, I’m in thinker mode||Verse 2||Common & Common & Kanye West||17||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Eyes lowed, I let the sky hold the thoughts||Verse 2||Common & Common & Kanye West||18||G.O.O.D. Friday||5||G.O.O.D. Fridays||
The streets are like the high road that I go across, ugh||Verse 2||Common & Common & Kanye West||19||G.O.O.D. Friday||5||G.O.O.D. Fridays||
I mean, my whole team 'bout to smash the streets||Verse 3||Kanye West||20||G.O.O.D. Friday||5||G.O.O.D. Fridays||
The Phillip Lim remind them that it’s Fashion Week||Verse 3||Kanye West||21||G.O.O.D. Friday||5||G.O.O.D. Fridays||
And the weather was unbearably hot||Verse 3||Kanye West||22||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Did I mention that the sweater was a Jeremy Scott?||Verse 3||Kanye West||23||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Did I mention G.O.O.D. Music, and forever we hot?||Verse 3||Kanye West||24||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Are you||Hook||Kid Cudi, Kanye West, & Kid Cudi & Kanye West||25||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Motherfucker, are you ready or not?||Hook||Kid Cudi, Kanye West, & Kid Cudi & Kanye West||26||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Ready to go? (Ugh)||Hook||Kid Cudi, Kanye West, & Kid Cudi & Kanye West||27||G.O.O.D. Friday||5||G.O.O.D. Fridays||
I know the city getting ready for me||Hook||Kid Cudi, Kanye West, & Kid Cudi & Kanye West||28||G.O.O.D. Friday||5||G.O.O.D. Fridays||
I know the city getting ready||Hook||Kid Cudi, Kanye West, & Kid Cudi & Kanye West||29||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Are you||Hook||Kid Cudi, Kanye West, & Kid Cudi & Kanye West||30||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Ready to go?||Hook||Kid Cudi, Kanye West, & Kid Cudi & Kanye West||31||G.O.O.D. Friday||5||G.O.O.D. Fridays||
I know the city getting ready for me||Hook||Kid Cudi, Kanye West, & Kid Cudi & Kanye West||32||G.O.O.D. Friday||5||G.O.O.D. Fridays||
I know the city getting ready||Hook||Kid Cudi, Kanye West, & Kid Cudi & Kanye West||33||G.O.O.D. Friday||5||G.O.O.D. Fridays||
This goes out to the hardcore hip-hop (Can’t stop!)||Bridge||Kanye West & Charlie Wilson||34||G.O.O.D. Friday||5||G.O.O.D. Fridays||
You... can’t stop!||Bridge||Kanye West & Charlie Wilson||35||G.O.O.D. Friday||5||G.O.O.D. Fridays||
This goes out to the all core hip-hop (Can’t stop)||Bridge||Kanye West & Charlie Wilson||36||G.O.O.D. Friday||5||G.O.O.D. Fridays||
La la la la-la||Bridge||Kanye West & Charlie Wilson||37||G.O.O.D. Friday||5||G.O.O.D. Fridays||
You... can’t stop!||Bridge||Kanye West & Charlie Wilson||38||G.O.O.D. Friday||5||G.O.O.D. Fridays||
La la la la-la||Bridge||Kanye West & Charlie Wilson||39||G.O.O.D. Friday||5||G.O.O.D. Fridays||
As Ye flips the piano||Verse 4||Pusha T & Kid Cudi||40||G.O.O.D. Friday||5||G.O.O.D. Fridays||
The mood swings like the change of a channel||Verse 4||Pusha T & Kid Cudi||41||G.O.O.D. Friday||5||G.O.O.D. Fridays||
He’s heating up like they wrapped him in flannel||Verse 4||Pusha T & Kid Cudi||42||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Selling kilos through your iPod Nano||Verse 4||Pusha T & Kid Cudi||43||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Cocaine vandal, I induct scandal||Verse 4||Pusha T & Kid Cudi||44||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Money drive you crazy—look at Marbury’s handle||Verse 4||Pusha T & Kid Cudi||45||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Vaseline face, reminiscent of my tires||Verse 4||Pusha T & Kid Cudi||46||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Ice cream paint job, something like Breyer's||Verse 4||Pusha T & Kid Cudi||47||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Euro tank top, Dior-inspired||Verse 4||Pusha T & Kid Cudi||48||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Sell it to you hard, no assembly required||Verse 4||Pusha T & Kid Cudi||49||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Yuugh! On 2012 in 2010||Verse 4||Pusha T & Kid Cudi||50||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Which makes this a time machine, not just any Benz||Verse 4||Pusha T & Kid Cudi||51||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Floss for the members of the gang with the 20 in||Verse 4||Pusha T & Kid Cudi||52||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Are you||Verse 4||Pusha T & Kid Cudi||53||G.O.O.D. Friday||5||G.O.O.D. Fridays||
While haters wish death upon me, that’s many men||Verse 4||Pusha T & Kid Cudi||54||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Ready to go||Verse 4||Pusha T & Kid Cudi||55||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Yeah, and if he slam you on your paper route||Verse 4||Pusha T & Kid Cudi||56||G.O.O.D. Friday||5||G.O.O.D. Fridays||
I know the city getting ready for me||Verse 4||Pusha T & Kid Cudi||57||G.O.O.D. Friday||5||G.O.O.D. Fridays||
Stop talking, motherfucker, pull your paper out||Verse 4||Pusha T & Kid Cudi||58||G.O.O.D. Friday||5||G.O.O.D. Fridays||
I know the city getting ready for me||Verse 4||Pusha T & Kid Cudi||59||G.O.O.D. Friday||5||G.O.O.D. Fridays||
(Ahh) Are you||Hook||Kid Cudi, Charlie Wilson, Big Sean, & Kanye West||60||G.O.O.D. Friday||5||G.O.O.D. Fridays||
(La la la) Ready to go?||Hook||Kid Cudi, Charlie Wilson, Big Sean, & Kanye West||61||G.O.O.D. Friday||5||G.O.O.D. Fridays||
(La la la la-la) I know the city getting ready for me||Hook||Kid Cudi, Charlie Wilson, Big Sean, & Kanye West||62||G.O.O.D. Friday||5||G.O.O.D. Fridays||
(La la la la-la) I know the city getting ready||Hook||Kid Cudi, Charlie Wilson, Big Sean, & Kanye West||63||G.O.O.D. Friday||5||G.O.O.D. Fridays||
(And let me hear you say, "Ahh", hey!) Are you||Hook||Kid Cudi, Charlie Wilson, Big Sean, & Kanye West||64||G.O.O.D. Friday||5||G.O.O.D. Fridays||
