data||type||speaker||lineNumber||songTitle||songNumber||album||
Uhh.. uhh||Intro||Kanye West||1||Good Morning||1||Graduation||
Uhh.. uhh||Intro||Kanye West||2||Good Morning||1||Graduation||
Good morning!||Chorus||Kanye West||3||Good Morning||1||Graduation||
Good morning!||Chorus||Kanye West||4||Good Morning||1||Graduation||
Good morning!||Chorus||Kanye West||5||Good Morning||1||Graduation||
Good morning!||Chorus||Kanye West||6||Good Morning||1||Graduation||
Wake up Mr. West, Mr. West||Verse 1||Kanye West||7||Good Morning||1||Graduation||
Mr. Fresh, Mister, by himself he's so impressed||Verse 1||Kanye West||8||Good Morning||1||Graduation||
I mean damn, did you even see the test?||Verse 1||Kanye West||9||Good Morning||1||Graduation||
You got D's, muthafucka D's, Rosie Perez||Verse 1||Kanye West||10||Good Morning||1||Graduation||
And yer ass barely passed any and every class||Verse 1||Kanye West||11||Good Morning||1||Graduation||
Looking at every ass, cheated on every test||Verse 1||Kanye West||12||Good Morning||1||Graduation||
I guess, this is my dissertation||Verse 1||Kanye West||13||Good Morning||1||Graduation||
Homie this shit is basic, welcome to Graduation||Verse 1||Kanye West||14||Good Morning||1||Graduation||
Good morning!||Chorus||Kanye West||15||Good Morning||1||Graduation||
Good morning!||Chorus||Kanye West||16||Good Morning||1||Graduation||
Good morning!||Chorus||Kanye West||17||Good Morning||1||Graduation||
Good morning!||Chorus||Kanye West||18||Good Morning||1||Graduation||
Good morning, on this day we become legendary||Verse 2||Kanye West||19||Good Morning||1||Graduation||
Everything we dreamed of||Verse 2||Kanye West||20||Good Morning||1||Graduation||
I'm like the fly Malcolm X, buy any jeans necessary||Verse 2||Kanye West||21||Good Morning||1||Graduation||
Detroit Red cleaned up||Verse 2||Kanye West||22||Good Morning||1||Graduation||
From the streets to the league, from an eighth to a key||Verse 2||Kanye West||23||Good Morning||1||Graduation||
But you graduate when you make it up outta the streets||Verse 2||Kanye West||24||Good Morning||1||Graduation||
From the moments of pain, look how far we done came||Verse 2||Kanye West||25||Good Morning||1||Graduation||
Haters saying you changed, now you doing your thang||Verse 2||Kanye West||26||Good Morning||1||Graduation||
Good morning!||Chorus||Kanye West||27||Good Morning||1||Graduation||
Good morning!||Chorus||Kanye West||28||Good Morning||1||Graduation||
Good morning and—||Chorus||Kanye West||29||Good Morning||1||Graduation||
Good morning!||Chorus||Kanye West||30||Good Morning||1||Graduation||
Good morning and look at the valedictorian||Verse 3||Kanye West||31||Good Morning||1||Graduation||
Scared of the future while I hop in the DeLorean||Verse 3||Kanye West||32||Good Morning||1||Graduation||
Scared to face the world, complacent career student||Verse 3||Kanye West||33||Good Morning||1||Graduation||
Some people graduate, but be still stupid||Verse 3||Kanye West||34||Good Morning||1||Graduation||
They tell you read this, eat this, don't look around||Verse 3||Kanye West||35||Good Morning||1||Graduation||
Just peep this, preach this, teach us, Jesus||Verse 3||Kanye West||36||Good Morning||1||Graduation||
Okay look up now, they done stole yo' streetness||Verse 3||Kanye West||37||Good Morning||1||Graduation||
After all of that you received this||Verse 3||Kanye West||38||Good Morning||1||Graduation||
Good morning!||Bridge||Kanye West & JAY-Z||39||Good Morning||1||Graduation||
Hustlers that's if you're still living, get on down||Bridge||Kanye West & JAY-Z||40||Good Morning||1||Graduation||
Every time that we hear them||Bridge||Kanye West & JAY-Z||41||Good Morning||1||Graduation||
Good morning!||Bridge||Kanye West & JAY-Z||42||Good Morning||1||Graduation||
Hustlers that's if you're still living, get on down||Bridge||Kanye West & JAY-Z||43||Good Morning||1||Graduation||
Every time that we hear them||Bridge||Kanye West & JAY-Z||44||Good Morning||1||Graduation||
Good morning!||Bridge||Kanye West & JAY-Z||45||Good Morning||1||Graduation||
Hustlers that's if you're still living, get on down||Bridge||Kanye West & JAY-Z||46||Good Morning||1||Graduation||
Every time that we hear them||Bridge||Kanye West & JAY-Z||47||Good Morning||1||Graduation||
Good morning!||Bridge||Kanye West & JAY-Z||48||Good Morning||1||Graduation||
Hustlers that's if you're still living, get on down||Bridge||Kanye West & JAY-Z||49||Good Morning||1||Graduation||
Get on down||Outro||JAY-Z||50||Good Morning||1||Graduation||
Get— get on down||Outro||JAY-Z||51||Good Morning||1||Graduation||
Get on down||Outro||JAY-Z||52||Good Morning||1||Graduation||
Get— get on down||Outro||JAY-Z||53||Good Morning||1||Graduation||
Did you realize||Intro||Kanye West||1||Champion||2||Graduation||
That you were a champion in their eyes?||Intro||Kanye West||2||Champion||2||Graduation||
Yes, I did||Intro||Kanye West||3||Champion||2||Graduation||
So I packed it up and brought it back to the crib||Intro||Kanye West||4||Champion||2||Graduation||
Just a little something, show you how we live||Intro||Kanye West||5||Champion||2||Graduation||
Everybody want it but it ain't that serious||Intro||Kanye West||6||Champion||2||Graduation||
Mhm, that's that shit||Intro||Kanye West||7||Champion||2||Graduation||
So if you gon' do it, do it just like this||Intro||Kanye West||8||Champion||2||Graduation||
Did you realize||Intro||Kanye West||9||Champion||2||Graduation||
That you were a champion in their eyes?||Intro||Kanye West||10||Champion||2||Graduation||
You don't see just how wild the crowd is||Intro||Kanye West||11||Champion||2||Graduation||
You don't see just how fly my style is||Intro||Kanye West||12||Champion||2||Graduation||
I don't see why I need a stylist||Intro||Kanye West||13||Champion||2||Graduation||
When I shop so much I can speak Italian||Intro||Kanye West||14||Champion||2||Graduation||
I don't know, I just want it better for my kids||Intro||Kanye West||15||Champion||2||Graduation||
And I ain't sayin' we was from the projects||Intro||Kanye West||16||Champion||2||Graduation||
But every time I wanted layaway or a deposit||Intro||Kanye West||17||Champion||2||Graduation||
My dad'd say "when you see clothes, close your eyelids"||Intro||Kanye West||18||Champion||2||Graduation||
We was sort of like Will Smith and his son||Intro||Kanye West||19||Champion||2||Graduation||
In the movie, I ain't talkin' 'bout the rich ones||Intro||Kanye West||20||Champion||2||Graduation||
'Cause every summer he'd get some||Intro||Kanye West||21||Champion||2||Graduation||
Brand new harebrained scheme to get rich from||Intro||Kanye West||22||Champion||2||Graduation||
And I don't know what he did for dough||Intro||Kanye West||23||Champion||2||Graduation||
But he'd send me back to school with a new wardrobe, but ayy||Intro||Kanye West||24||Champion||2||Graduation||
