data||type||speaker||lineNumber||songTitle||songNumber||album||
Sing every hour (Every hour, 'til the power)||Intro||Kanye West||1||Every Hour||1||JESUS IS KING||
Every minute (Every minute, of the Lord)||Intro||Kanye West||2||Every Hour||1||JESUS IS KING||
Every second (Every second, comes)||Intro||Kanye West||3||Every Hour||1||JESUS IS KING||
Sing each and every millisecond (Down)||Intro||Kanye West||4||Every Hour||1||JESUS IS KING||
We need you (We need you, sing 'til the power)||Intro||Kanye West||5||Every Hour||1||JESUS IS KING||
We need you (We need you, of the Lord)||Intro||Kanye West||6||Every Hour||1||JESUS IS KING||
We need you (Comes)||Intro||Kanye West||7||Every Hour||1||JESUS IS KING||
Oh, we need you (Down)||Intro||Kanye West||8||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down||Intro||Kanye West||9||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down||Intro||Kanye West||10||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down (Let everything that have breath praise God)||Intro||Kanye West||11||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down ('Cause when we sing the glory of the Lord comes down, down)||Intro||Kanye West||12||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down (Praising the Lord, praise God in the sanctuary)||Intro||Kanye West||13||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down (For His mighty works and excellent grace and His mighty power, yeah)||Intro||Kanye West||14||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down (Sing 'til the power of the Lord falls down)||Intro||Kanye West||15||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down (We are to sing 'til the power of the Lord comes down)||Intro||Kanye West||16||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down (Let us sing, let us sing, oh, sing)||Intro||Kanye West||17||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down (Let us sing, let us sing, oh, sing)||Intro||Kanye West||18||Every Hour||1||JESUS IS KING||
Sing every hour (Every hour, 'til the power)||Intro||Kanye West||19||Every Hour||1||JESUS IS KING||
Every minute (Every minute, of the Lord)||Intro||Kanye West||20||Every Hour||1||JESUS IS KING||
Every second (Every second, comes)||Intro||Kanye West||21||Every Hour||1||JESUS IS KING||
Sing each and every millisecond (Down)||Intro||Kanye West||22||Every Hour||1||JESUS IS KING||
We need you (We need you, sing 'til the power)||Intro||Kanye West||23||Every Hour||1||JESUS IS KING||
We need you (We need you, of the Lord)||Intro||Kanye West||24||Every Hour||1||JESUS IS KING||
We need you (Comes)||Intro||Kanye West||25||Every Hour||1||JESUS IS KING||
Oh, we need you (Down)||Intro||Kanye West||26||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down (Sing 'til the power of the Lord falls down)||Intro||Kanye West||27||Every Hour||1||JESUS IS KING||
Sing 'til the power of the Lord comes down (We are to sing 'til the power of the Lord comes down)||Intro||Kanye West||28||Every Hour||1||JESUS IS KING||
Sing every hour (Every hour, 'til the power)||Intro||Kanye West||29||Every Hour||1||JESUS IS KING||
Every minute (Every minute, of the Lord)||Intro||Kanye West||30||Every Hour||1||JESUS IS KING||
Every second (Every second, comes)||Intro||Kanye West||31||Every Hour||1||JESUS IS KING||
Sing each and every millisecond (Down)||Intro||Kanye West||32||Every Hour||1||JESUS IS KING||
We need you (We need you, sing 'til the power)||Intro||Kanye West||33||Every Hour||1||JESUS IS KING||
We need you (We need you, of the Lord)||Intro||Kanye West||34||Every Hour||1||JESUS IS KING||
We need you (Comes)||Intro||Kanye West||35||Every Hour||1||JESUS IS KING||
Oh, we need you (Down)||Intro||Kanye West||36||Every Hour||1||JESUS IS KING||
God is King, we the soldiers||Verse 1||Kanye West||1||Selah||2||JESUS IS KING||
Ultrabeam out the solar||Verse 1||Kanye West||2||Selah||2||JESUS IS KING||
When I get to Heaven's gates||Verse 1||Kanye West||3||Selah||2||JESUS IS KING||
I ain’t gotta peek over||Verse 1||Kanye West||4||Selah||2||JESUS IS KING||
Keepin' perfect composure||Verse 1||Kanye West||5||Selah||2||JESUS IS KING||
When I scream at the chauffeur||Verse 1||Kanye West||6||Selah||2||JESUS IS KING||
I ain't mean, I’m just focused||Verse 1||Kanye West||7||Selah||2||JESUS IS KING||
I ain't mean, I'm just focused||Verse 1||Kanye West||8||Selah||2||JESUS IS KING||
Pour the lean out slower||Verse 1||Kanye West||9||Selah||2||JESUS IS KING||
Got us clean out of soda||Verse 1||Kanye West||10||Selah||2||JESUS IS KING||
Before the flood, people judge||Verse 1||Kanye West||11||Selah||2||JESUS IS KING||
They did the same thing to Noah||Verse 1||Kanye West||12||Selah||2||JESUS IS KING||
Everybody wanted Yandhi||Verse 1||Kanye West||13||Selah||2||JESUS IS KING||
Then Jesus Christ did the laundry||Verse 1||Kanye West||14||Selah||2||JESUS IS KING||
They say the week start on Monday||Verse 1||Kanye West||15||Selah||2||JESUS IS KING||
But the strong start on Sunday||Verse 1||Kanye West||16||Selah||2||JESUS IS KING||
Won't be in bondage to any man||Verse 1||Kanye West||17||Selah||2||JESUS IS KING||
John 8:33||Verse 1||Kanye West||18||Selah||2||JESUS IS KING||
We the descendants of Abraham||Verse 1||Kanye West||19||Selah||2||JESUS IS KING||
Ye should be made free||Verse 1||Kanye West||20||Selah||2||JESUS IS KING||
John 8:36||Verse 1||Kanye West||21||Selah||2||JESUS IS KING||
To whom the son set free is free indeed||Verse 1||Kanye West||22||Selah||2||JESUS IS KING||
He saved a wretch like me||Verse 1||Kanye West||23||Selah||2||JESUS IS KING||
Hallelujah, hallelujah, hallelujah, hallelujah||Chorus||Sunday Service Choir||24||Selah||2||JESUS IS KING||
Hallelujah, hallelujah, hallelujah, hallelujah||Chorus||Sunday Service Choir||25||Selah||2||JESUS IS KING||
Hallelujah, hallelujah, hallelujah, hallelujah||Chorus||Sunday Service Choir||26||Selah||2||JESUS IS KING||
Hallelujah, hallelujah, hallelujah, hallelujah||Chorus||Sunday Service Choir||27||Selah||2||JESUS IS KING||
Hallelujah, hallelujah, hallelujah, hallelujah||Chorus||Sunday Service Choir||28||Selah||2||JESUS IS KING||
Hallelujah, hallelujah, hallelujah, hallelujah||Chorus||Sunday Service Choir||29||Selah||2||JESUS IS KING||
Hallelujah, hallelujah, hallelujah, hallelujah||Chorus||Sunday Service Choir||30||Selah||2||JESUS IS KING||
Hallelujah, hallelujah, hallelujah, hallelujah||Chorus||Sunday Service Choir||31||Selah||2||JESUS IS KING||
Hallelujah, hallelujah, hallelujah, hallelujah||Chorus||Sunday Service Choir||32||Selah||2||JESUS IS KING||
Hallelujah, hallelujah, hallelujah, hallelujah||Chorus||Sunday Service Choir||33||Selah||2||JESUS IS KING||
Hallelujah, He is wonderful||Chorus||Sunday Service Choir||34||Selah||2||JESUS IS KING||
If you woke, then wake up||Verse 2||Kanye West||35||Selah||2||JESUS IS KING||
With Judas, kiss and make up||Verse 2||Kanye West||36||Selah||2||JESUS IS KING||
Even with the bitter cup||Verse 2||Kanye West||37||Selah||2||JESUS IS KING||
Forgave my brothers and drank up||Verse 2||Kanye West||38||Selah||2||JESUS IS KING||
