data||type||speaker||lineNumber||songTitle||songNumber||album||
Oh, ho-ho-ho!||Intro||Kanye West||1||Wake Up Mr. West||1||Late Registration||
I knew I was gon' see, I knew I was gon' see you again! Knew I was gon' see you again!||Intro||Kanye West||2||Wake Up Mr. West||1||Late Registration||
Where your goddamn book bag at?||Intro||Kanye West||3||Wake Up Mr. West||1||Late Registration||
Always carryin' that lil' book bag, nobody wants to see that!||Intro||Kanye West||4||Wake Up Mr. West||1||Late Registration||
Goddamn 4th grader, sit your ass down!||Intro||Kanye West||5||Wake Up Mr. West||1||Late Registration||
He wanna play it again like he got somethin' else to do||Intro||Kanye West||6||Wake Up Mr. West||1||Late Registration||
You ain't got somethin' else to do!||Intro||Kanye West||7||Wake Up Mr. West||1||Late Registration||
You ain't doin' nothin' wit' your life, notin' wit' your life!||Intro||Kanye West||8||Wake Up Mr. West||1||Late Registration||
You think this is?||Intro||Kanye West||9||Wake Up Mr. West||1||Late Registration||
You better look at me when I'm talkin' to you!||Intro||Kanye West||10||Wake Up Mr. West||1||Late Registration||
You think this shit easy, don't you?||Intro||Kanye West||11||Wake Up Mr. West||1||Late Registration||
You think this is promised!||Intro||Kanye West||12||Wake Up Mr. West||1||Late Registration||
Well ain't nothin' promised to you!||Intro||Kanye West||13||Wake Up Mr. West||1||Late Registration||
Look at my face, do I got a promised face?||Intro||Kanye West||14||Wake Up Mr. West||1||Late Registration||
Does it look like I promised you anything?||Intro||Kanye West||15||Wake Up Mr. West||1||Late Registration||
Kanye, nigga-is you snorin' in my class?||Intro||Kanye West||16||Wake Up Mr. West||1||Late Registration||
Wake up Mr. West!||Intro||Kanye West||17||Wake Up Mr. West||1||Late Registration||
Wake up Mr. West!||Intro||Kanye West||18||Wake Up Mr. West||1||Late Registration||
Wake up Mr. West - Mr. West - Mr. West...||Intro||Kanye West||1||Heard ’Em Say||2||Late Registration||
Uh, yea, uh, yea, uh, yea||Intro||Kanye West||2||Heard ’Em Say||2||Late Registration||
And I heard 'em say, nothing's ever promised tomorrow today||Verse 1||Kanye West||3||Heard ’Em Say||2||Late Registration||
From the Chi, like Tim it's a harder way||Verse 1||Kanye West||4||Heard ’Em Say||2||Late Registration||
So this is in the name of love like Robert say||Verse 1||Kanye West||5||Heard ’Em Say||2||Late Registration||
Before you ask me to go get a job today||Verse 1||Kanye West||6||Heard ’Em Say||2||Late Registration||
Can I at least get a raise of the minimum wage?||Verse 1||Kanye West||7||Heard ’Em Say||2||Late Registration||
And I know that the government administer AIDS||Verse 1||Kanye West||8||Heard ’Em Say||2||Late Registration||
So I guess we just pray like the minister say||Verse 1||Kanye West||9||Heard ’Em Say||2||Late Registration||
Allāhu Akbar and throw in some hot cars||Verse 1||Kanye West||10||Heard ’Em Say||2||Late Registration||
Things we see on the screen that's not ours||Verse 1||Kanye West||11||Heard ’Em Say||2||Late Registration||
But these niggas from the hood so these dreams not far||Verse 1||Kanye West||12||Heard ’Em Say||2||Late Registration||
Where I'm from the dope boys is the rock stars||Verse 1||Kanye West||13||Heard ’Em Say||2||Late Registration||
But they can't cop cars without seeing cop cars||Verse 1||Kanye West||14||Heard ’Em Say||2||Late Registration||
I guess they want us all behind bars - I know it||Verse 1||Kanye West||15||Heard ’Em Say||2||Late Registration||
Uh, and I heard 'em say (Ooh), nothing's ever promised tomorrow today||Chorus||Kanye West & Adam Levine||16||Heard ’Em Say||2||Late Registration||
And I heard 'em say||Chorus||Kanye West & Adam Levine||17||Heard ’Em Say||2||Late Registration||
Nothing's ever promised tomorrow today (Nothing's ever promised tomorrow today)||Chorus||Kanye West & Adam Levine||18||Heard ’Em Say||2||Late Registration||
But we'll a find a way||Chorus||Kanye West & Adam Levine||19||Heard ’Em Say||2||Late Registration||
And nothing last forever but be honest babe||Chorus||Kanye West & Adam Levine||20||Heard ’Em Say||2||Late Registration||
It hurts but it may be the only way||Chorus||Kanye West & Adam Levine||21||Heard ’Em Say||2||Late Registration||
They say people in your life are seasons||Verse 2||Kanye West||22||Heard ’Em Say||2||Late Registration||
And anything that happen is for a reason||Verse 2||Kanye West||23||Heard ’Em Say||2||Late Registration||
And niggas gun clapping and keep to squeezing||Verse 2||Kanye West||24||Heard ’Em Say||2||Late Registration||
And Gran keep praying and keep believing||Verse 2||Kanye West||25||Heard ’Em Say||2||Late Registration||
In Jesus, and one day that you see him||Verse 2||Kanye West||26||Heard ’Em Say||2||Late Registration||
'Til then walk in his footsteps and try to be him||Verse 2||Kanye West||27||Heard ’Em Say||2||Late Registration||
The devil is alive I feel him breathin||Verse 2||Kanye West||28||Heard ’Em Say||2||Late Registration||
Claiming money is the key, so keep on dreamin||Verse 2||Kanye West||29||Heard ’Em Say||2||Late Registration||
And put them lottery tickets just to tease us||Verse 2||Kanye West||30||Heard ’Em Say||2||Late Registration||
My Aunt Pam can't put them cigarettes down||Verse 2||Kanye West||31||Heard ’Em Say||2||Late Registration||
So now my little cousin smokin' them cigarettes now||Verse 2||Kanye West||32||Heard ’Em Say||2||Late Registration||
His job try to claim that he too niggerish now||Verse 2||Kanye West||33||Heard ’Em Say||2||Late Registration||
Is it 'cause his skin blacker than licorice now?||Verse 2||Kanye West||34||Heard ’Em Say||2||Late Registration||
I can't figure it out, I'm sick of it now||Verse 2||Kanye West||35||Heard ’Em Say||2||Late Registration||
Uh, and I heard 'em say (Ooh), nothing's ever promised tomorrow today||Chorus||Kanye West & Adam Levine||36||Heard ’Em Say||2||Late Registration||
And I heard 'em say||Chorus||Kanye West & Adam Levine||37||Heard ’Em Say||2||Late Registration||
Nothing's ever promised tomorrow today (Nothing's ever promised tomorrow today)||Chorus||Kanye West & Adam Levine||38||Heard ’Em Say||2||Late Registration||
