data||type||speaker||lineNumber||songTitle||songNumber||album||
You might think you've peeped the scene||Intro||Nicki Minaj||1||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
You haven't, the real one's far too mean||Intro||Nicki Minaj||2||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
The watered-down one, the one you know||Intro||Nicki Minaj||3||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Was made up centuries ago||Intro||Nicki Minaj||4||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
They made it sound all wack and corny||Intro||Nicki Minaj||5||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Yes, it's awful blasted boring||Intro||Nicki Minaj||6||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Twisted fictions, sick addiction||Intro||Nicki Minaj||7||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Well, gather 'round, children, zip it, listen||Intro||Nicki Minaj||8||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Can we get much higher? (So high)||Chorus||Justin Vernon & Teyana Taylor||9||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Oh, oh, oh||Chorus||Justin Vernon & Teyana Taylor||10||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Oh, oh, oh-oh, oh (Oh)||Chorus||Justin Vernon & Teyana Taylor||11||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Can we get much higher? (So high)||Chorus||Justin Vernon & Teyana Taylor||12||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Oh, oh, oh||Chorus||Justin Vernon & Teyana Taylor||13||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Oh, oh, oh-oh, oh||Chorus||Justin Vernon & Teyana Taylor||14||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Can we get much higher? (So high)||Chorus||Justin Vernon & Teyana Taylor||15||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Oh, oh, oh||Chorus||Justin Vernon & Teyana Taylor||16||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Oh, oh, oh-oh, oh (Oh)||Chorus||Justin Vernon & Teyana Taylor||17||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Can we get much higher? (So high)||Chorus||Justin Vernon & Teyana Taylor||18||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
Oh, oh, oh||Chorus||Justin Vernon & Teyana Taylor||19||Dark Fantasy||1||My Beautiful Dark Twisted Fantasy||
