data||type||speaker||lineNumber||songTitle||songNumber||album||
Kanye, can I talk to you for a minute?||Intro||Kanye West||1||Intro (The “Original” College Dropout)||1||The College Dropout||
Me 'n the other faculty members was wonderin'||Intro||Kanye West||2||Intro (The “Original” College Dropout)||1||The College Dropout||
Could you do a lil some, somethin' beautiful?||Intro||Kanye West||3||Intro (The “Original” College Dropout)||1||The College Dropout||
Somethin' that the kids is gon' love when they hear it||Intro||Kanye West||4||Intro (The “Original” College Dropout)||1||The College Dropout||
It's gonna make 'em start jumpin' up 'n down and sharin' candy and stuff||Intro||Kanye West||5||Intro (The “Original” College Dropout)||1||The College Dropout||
Think you could probably do somethin' for the kids for graduation to sing?||Intro||Kanye West||6||Intro (The “Original” College Dropout)||1||The College Dropout||
Kanye, can I talk to you for a minute?||Intro||DeRay Davis||1||Intro||1||The College Dropout||
Me and the other faculty members was wonderin'||Intro||DeRay Davis||2||Intro||1||The College Dropout||
Could you do a lil' som...||Intro||DeRay Davis||3||Intro||1||The College Dropout||
Somethin' beautiful, somethin' that the kids are gon' love when they hear it||Intro||DeRay Davis||4||Intro||1||The College Dropout||
That's gon' make them start jumpin' up and down, and sharin' candy and stuff||Intro||DeRay Davis||5||Intro||1||The College Dropout||
Think you could probably do somethin', for the kids, for graduation to sing?||Intro||DeRay Davis||6||Intro||1||The College Dropout||
Oh, yeah...||Intro||Kanye West||1||We Don’t Care||2||The College Dropout||
I got the perfect song for the kids to sing...||Intro||Kanye West||2||We Don’t Care||2||The College Dropout||
And all my people that's—||Intro||Kanye West||3||We Don’t Care||2||The College Dropout||
Drug dealin' just to get by||Chorus||Choir||4||We Don’t Care||2||The College Dropout||
Stack your money 'til it get sky high||Chorus||Choir||5||We Don’t Care||2||The College Dropout||
We wasn't supposed to make it past twenty-five||Chorus||Choir||6||We Don’t Care||2||The College Dropout||
Joke's on you, we still alive||Chorus||Choir||7||We Don’t Care||2||The College Dropout||
Throw your hands up in the sky and say||Chorus||Choir||8||We Don’t Care||2||The College Dropout||
"We don't care what people say"||Chorus||Choir||9||We Don’t Care||2||The College Dropout||
If this is your first time hearing this||Verse 1||Kanye West||10||We Don’t Care||2||The College Dropout||
You are about to experience something so cold, man||Verse 1||Kanye West||11||We Don’t Care||2||The College Dropout||
We never had nothin' handed, took nothin' for granted||Verse 1||Kanye West||12||We Don’t Care||2||The College Dropout||
Took nothin' from no man, man, I'm my own man||Verse 1||Kanye West||13||We Don’t Care||2||The College Dropout||
But as a shorty, I looked up to the dope man||Verse 1||Kanye West||14||We Don’t Care||2||The College Dropout||
