data||type||speaker||lineNumber||songTitle||songNumber||album||
(Yes, God)||Intro||Samoria Green & Natalie Green||1||Ultralight Beam||1||The Life of Pablo||
We don't want no devils in the house, God (Yes, Lord)||Intro||Samoria Green & Natalie Green||2||Ultralight Beam||1||The Life of Pablo||
We want the lord (Yes, Jesus)||Intro||Samoria Green & Natalie Green||3||Ultralight Beam||1||The Life of Pablo||
And that's it (Yes, God)||Intro||Samoria Green & Natalie Green||4||Ultralight Beam||1||The Life of Pablo||
Hallej- hand over Satan (Yes, Jesus)||Intro||Samoria Green & Natalie Green||5||Ultralight Beam||1||The Life of Pablo||
Jesus praise the Lord (Yes, God)||Intro||Samoria Green & Natalie Green||6||Ultralight Beam||1||The Life of Pablo||
Hallelujah, God (Yes, God)||Intro||Samoria Green & Natalie Green||7||Ultralight Beam||1||The Life of Pablo||
We don't want no devils in the house, God (Yes, Lord)||Intro||Samoria Green & Natalie Green||8||Ultralight Beam||1||The Life of Pablo||
We want the lord (Yes, Jesus)||Intro||Samoria Green & Natalie Green||9||Ultralight Beam||1||The Life of Pablo||
And that's it (Yes, God)||Intro||Samoria Green & Natalie Green||10||Ultralight Beam||1||The Life of Pablo||
Hallej- hand over Satan (Yes, Jesus)||Intro||Samoria Green & Natalie Green||11||Ultralight Beam||1||The Life of Pablo||
Jesus praise the Lord (Yes, God)||Intro||Samoria Green & Natalie Green||12||Ultralight Beam||1||The Life of Pablo||
I'm tryna keep my faith||Chorus||Kanye West & The-Dream||13||Ultralight Beam||1||The Life of Pablo||
We on an ultralight beam||Chorus||Kanye West & The-Dream||14||Ultralight Beam||1||The Life of Pablo||
We on an ultralight beam||Chorus||Kanye West & The-Dream||15||Ultralight Beam||1||The Life of Pablo||
This is a God dream||Chorus||Kanye West & The-Dream||16||Ultralight Beam||1||The Life of Pablo||
This is a God dream||Chorus||Kanye West & The-Dream||17||Ultralight Beam||1||The Life of Pablo||
This is everything||Chorus||Kanye West & The-Dream||18||Ultralight Beam||1||The Life of Pablo||
This is everything||Chorus||Kanye West & The-Dream||19||Ultralight Beam||1||The Life of Pablo||
Deliver us serenity||Verse 1||Kanye West & The-Dream||20||Ultralight Beam||1||The Life of Pablo||
Deliver us peace||Verse 1||Kanye West & The-Dream||21||Ultralight Beam||1||The Life of Pablo||
Deliver us loving||Verse 1||Kanye West & The-Dream||22||Ultralight Beam||1||The Life of Pablo||
We know we need it||Verse 1||Kanye West & The-Dream||23||Ultralight Beam||1||The Life of Pablo||
You know we need it||Verse 1||Kanye West & The-Dream||24||Ultralight Beam||1||The Life of Pablo||
You know we need it||Verse 1||Kanye West & The-Dream||25||Ultralight Beam||1||The Life of Pablo||
That's why we need You now, oh||Verse 1||Kanye West & The-Dream||26||Ultralight Beam||1||The Life of Pablo||
