data||type||speaker||lineNumber||songTitle||songNumber||album||
Yeezy season approachin'||Verse 1||Kanye West||1||On Sight||1||Yeezus||
Fuck whatever y'all been hearin'||Verse 1||Kanye West||2||On Sight||1||Yeezus||
Fuck what, fuck whatever y'all been wearin'||Verse 1||Kanye West||3||On Sight||1||Yeezus||
A monster about to come alive again||Verse 1||Kanye West||4||On Sight||1||Yeezus||
Soon as I pull up and park the Benz||Verse 1||Kanye West||5||On Sight||1||Yeezus||
We get this bitch shaking like Parkinsons||Verse 1||Kanye West||6||On Sight||1||Yeezus||
Take my number and lock it in||Verse 1||Kanye West||7||On Sight||1||Yeezus||
Indian hair, no moccasins||Verse 1||Kanye West||8||On Sight||1||Yeezus||
It's too many hoes in this house of sin||Verse 1||Kanye West||9||On Sight||1||Yeezus||
Real nigga back in the house again||Verse 1||Kanye West||10||On Sight||1||Yeezus||
Black Timbs all on your couch again||Verse 1||Kanye West||11||On Sight||1||Yeezus||
Black dick all in your spouse again||Verse 1||Kanye West||12||On Sight||1||Yeezus||
And I know she like chocolate men||Verse 1||Kanye West||13||On Sight||1||Yeezus||
She got more niggas off than Cochran, hah!||Verse 1||Kanye West||14||On Sight||1||Yeezus||
On sight, on sight||Chorus||Kanye West||15||On Sight||1||Yeezus||
How much do I not give a fuck?||Bridge||Kanye West||16||On Sight||1||Yeezus||
Let me show you right now 'fore you give it up||Bridge||Kanye West||17||On Sight||1||Yeezus||
How much do I not give a fuck?||Bridge||Kanye West||18||On Sight||1||Yeezus||
Let me show you right now 'fore you give it up||Bridge||Kanye West||19||On Sight||1||Yeezus||
Oh, he'll give us what we need||Interlude||Sample||20||On Sight||1||Yeezus||
It may not be what we want||Interlude||Sample||21||On Sight||1||Yeezus||
Baby girl tryna get a nut||Verse 2||Kanye West||22||On Sight||1||Yeezus||
And her girl tryna give it up||Verse 2||Kanye West||23||On Sight||1||Yeezus||
Chopped 'em both down||Verse 2||Kanye West||24||On Sight||1||Yeezus||
Don't judge 'em, Joe Brown||Verse 2||Kanye West||25||On Sight||1||Yeezus||
One last announcement||Verse 2||Kanye West||26||On Sight||1||Yeezus||
No sports bra, let's keep it bouncin'||Verse 2||Kanye West||27||On Sight||1||Yeezus||
Everybody wanna live at the top of the mountain||Verse 2||Kanye West||28||On Sight||1||Yeezus||
Took her to the 'Bleau, she tried to sip the fountain||Verse 2||Kanye West||29||On Sight||1||Yeezus||
That when David Grutman kicked her out||Verse 2||Kanye West||30||On Sight||1||Yeezus||
But I got her back in and put my dick in her mouth||Verse 2||Kanye West||31||On Sight||1||Yeezus||
On sight, on sight||Chorus||Kanye West||32||On Sight||1||Yeezus||
Uh-huh||Interlude||Kanye West||33||On Sight||1||Yeezus||
Uh-huh||Interlude||Kanye West||34||On Sight||1||Yeezus||
Uh-huh||Interlude||Kanye West||35||On Sight||1||Yeezus||
Uh-huh||Interlude||Kanye West||36||On Sight||1||Yeezus||
Right now||Interlude||Kanye West||37||On Sight||1||Yeezus||
I need right now||Interlude||Kanye West||38||On Sight||1||Yeezus||
Right now||Interlude||Kanye West||39||On Sight||1||Yeezus||
I need, I need right now||Interlude||Kanye West||40||On Sight||1||Yeezus||
Right now||Interlude||Kanye West||41||On Sight||1||Yeezus||
I need, I need right now||Interlude||Kanye West||42||On Sight||1||Yeezus||
For my theme song (Black)||Intro||Kanye West||1||Black Skinhead||2||Yeezus||
My leather black jeans on (Black)||Intro||Kanye West||2||Black Skinhead||2||Yeezus||
My by-any-means on||Intro||Kanye West||3||Black Skinhead||2||Yeezus||
Pardon, I'm getting my scream on (Black)||Intro||Kanye West||4||Black Skinhead||2||Yeezus||
Enter the kingdom (Black)||Intro||Kanye West||5||Black Skinhead||2||Yeezus||
But watch who you bring home||Intro||Kanye West||6||Black Skinhead||2||Yeezus||
They see a black man with a white woman||Intro||Kanye West||7||Black Skinhead||2||Yeezus||
At the top floor they gone come to kill King Kong||Intro||Kanye West||8||Black Skinhead||2||Yeezus||
Middle America packed in (Black)||Intro||Kanye West||9||Black Skinhead||2||Yeezus||
Came to see me in my black skin (Black)||Intro||Kanye West||10||Black Skinhead||2||Yeezus||
Number one question they're askin'||Intro||Kanye West||11||Black Skinhead||2||Yeezus||
Fuck every question you askin' (Black)||Intro||Kanye West||12||Black Skinhead||2||Yeezus||
If I don't get ran out by Catholics (Black)||Intro||Kanye West||13||Black Skinhead||2||Yeezus||
Here come some conservative Baptists||Intro||Kanye West||14||Black Skinhead||2||Yeezus||
Claiming I'm overreactin'||Intro||Kanye West||15||Black Skinhead||2||Yeezus||
Like them black kids in Chiraq, bitch||Intro||Kanye West||16||Black Skinhead||2||Yeezus||
Four in the mornin', and I'm zonin'||Intro||Kanye West||17||Black Skinhead||2||Yeezus||
They say I'm possessed, it's an omen||Intro||Kanye West||18||Black Skinhead||2||Yeezus||
I keep it 300, like the Romans||Intro||Kanye West||19||Black Skinhead||2||Yeezus||
300 bitches, where the Trojans?||Intro||Kanye West||20||Black Skinhead||2||Yeezus||
Baby, we livin' in the moment||Intro||Kanye West||21||Black Skinhead||2||Yeezus||
I've been a menace for the longest||Intro||Kanye West||22||Black Skinhead||2||Yeezus||
But I ain't finished, I'm devoted||Intro||Kanye West||23||Black Skinhead||2||Yeezus||
And you know it, and you know it||Intro||Kanye West||24||Black Skinhead||2||Yeezus||
So follow me up cause this shit 'bout to go (Down)||Intro||Kanye West||25||Black Skinhead||2||Yeezus||
I'm doing 500, I'm outta control (Now)||Intro||Kanye West||26||Black Skinhead||2||Yeezus||
