data||type||speaker||lineNumber||songTitle||songNumber||album||
I know, I know, I know, I know, know||Intro||Francis and the Lights & Kanye West||1||I Thought About Killing You||1||ye||
I know, I know, I know, I know, know||Intro||Francis and the Lights & Kanye West||2||I Thought About Killing You||1||ye||
I, I know it, I know it||Intro||Francis and the Lights & Kanye West||3||I Thought About Killing You||1||ye||
The most beautiful thoughts are always besides the darkest||Spoken Word||Kanye West||4||I Thought About Killing You||1||ye||
Today, I seriously thought about killing you||Spoken Word||Kanye West||5||I Thought About Killing You||1||ye||
I contemplated, premeditated murder||Spoken Word||Kanye West||6||I Thought About Killing You||1||ye||
And I think about killing myself||Spoken Word||Kanye West||7||I Thought About Killing You||1||ye||
And I love myself way more than I love you, so…||Spoken Word||Kanye West||8||I Thought About Killing You||1||ye||
Today, I thought about killing you, premeditated murder||Spoken Word||Kanye West||9||I Thought About Killing You||1||ye||
You'd only care enough to kill somebody you love||Spoken Word||Kanye West||10||I Thought About Killing You||1||ye||
The most beautiful thoughts are always inside the darkest||Spoken Word||Kanye West||11||I Thought About Killing You||1||ye||
(Mhm—mhm—mhm—mhm—mhmm)||Spoken Word||Kanye West||12||I Thought About Killing You||1||ye||
Just say it out loud to see how it feels||Spoken Word||Kanye West||13||I Thought About Killing You||1||ye||
People say "don't say this, don't say that"||Spoken Word||Kanye West||14||I Thought About Killing You||1||ye||
Just say it out loud, just to see how it feels||Spoken Word||Kanye West||15||I Thought About Killing You||1||ye||
Weigh all the options, nothing's off the table||Spoken Word||Kanye West||16||I Thought About Killing You||1||ye||
Today, I thought about killing you, premeditated murder||Spoken Word||Kanye West||17||I Thought About Killing You||1||ye||
I think about killing myself||Spoken Word||Kanye West||18||I Thought About Killing You||1||ye||
And I, I love myself way more than I love you||Spoken Word||Kanye West||19||I Thought About Killing You||1||ye||
The most beautiful thoughts are always besides the darkest||Spoken Word||Kanye West||20||I Thought About Killing You||1||ye||
(Mhm—mhm—mhm—mhm—mhm—mhm—mhm—mhm—mhmm)||Spoken Word||Kanye West||21||I Thought About Killing You||1||ye||
I think this is the part where I'm supposed to say somethin' good to compensate it so it doesn't come off bad||Spoken Word||Kanye West||22||I Thought About Killing You||1||ye||
But sometimes I think really bad things||Spoken Word||Kanye West||23||I Thought About Killing You||1||ye||
Really, really, really bad things||Spoken Word||Kanye West||24||I Thought About Killing You||1||ye||
And I love myself way more than I love you||Spoken Word||Kanye West||25||I Thought About Killing You||1||ye||
See, if I was tryin' to relate it to more people||Spoken Word||Kanye West||26||I Thought About Killing You||1||ye||
I'd probably say I'm struggling with loving myself||Spoken Word||Kanye West||27||I Thought About Killing You||1||ye||
Because that seems like a common theme||Spoken Word||Kanye West||28||I Thought About Killing You||1||ye||
But that's not the case here||Spoken Word||Kanye West||29||I Thought About Killing You||1||ye||
I love myself way more than I love you||Spoken Word||Kanye West||30||I Thought About Killing You||1||ye||
And I think about killing myself||Spoken Word||Kanye West||31||I Thought About Killing You||1||ye||
So, best believe, I thought about killing you today||Spoken Word||Kanye West||32||I Thought About Killing You||1||ye||
Premeditated murder||Spoken Word||Kanye West||33||I Thought About Killing You||1||ye||
I called up my loved ones, I called up my cousins||Verse||Kanye West||34||I Thought About Killing You||1||ye||
I called up the Muslims, said I'm 'bout to go dumb||Verse||Kanye West||35||I Thought About Killing You||1||ye||
Get so bright, it's no sun, get so loud, I hear none||Verse||Kanye West||36||I Thought About Killing You||1||ye||
Screamed so loud, got no lungs, hurt so bad, I go numb||Verse||Kanye West||37||I Thought About Killing You||1||ye||
Time to bring in the drums, that prra-pa-pa-pum||Verse||Kanye West||38||I Thought About Killing You||1||ye||
Set the NewTone on 'em, set the nuke off on 'em||Verse||Kanye West||39||I Thought About Killing You||1||ye||
I need Coke with no rum, I taste coke on her tongue||Verse||Kanye West||40||I Thought About Killing You||1||ye||
I don't joke with no one, they'll say "He died so young"||Verse||Kanye West||41||I Thought About Killing You||1||ye||
I done had a bad case of too many bad days||Verse||Kanye West||42||I Thought About Killing You||1||ye||
Got too many bad traits, used the floor for ashtrays||Verse||Kanye West||43||I Thought About Killing You||1||ye||
I don't do shit halfway, I'ma clear the cache||Verse||Kanye West||44||I Thought About Killing You||1||ye||
I'ma make my name last, put that on my last name||Verse||Kanye West||45||I Thought About Killing You||1||ye||
It's a different type of rules that we obey||Verse||Kanye West||46||I Thought About Killing You||1||ye||
Ye, Ye, Ye season, nigga, we Old Bay||Verse||Kanye West||47||I Thought About Killing You||1||ye||
